first,firstbreed,breedage,firstreturn,returnage
8,NA,NA,12,4
8,15,7,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,14,6,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,13,5,10,2
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,21,13,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,14,6
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,16,8,13,5
8,NA,NA,12,4
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,14,6
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,14,6,11,3
8,NA,NA,12,4
8,15,7,11,3
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,16,8,12,4
8,NA,NA,12,4
8,NA,NA,10,2
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,14,6,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,12,4
8,14,6,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,15,7,12,4
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,15,7,12,4
8,NA,NA,NA,NA
8,NA,NA,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,15,7,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
